iter	Passed	Remaining
444	1177	1468
445	1182	1468
446	1185	1466
447	1187	1463
448	1190	1460
449	1192	1457
450	1194	1454
451	1197	1451
452	1199	1448
453	1202	1445
454	1204	1443
455	1207	1440
456	1210	1438
457	1212	1435
458	1215	1432
459	1218	1429
460	1220	1426
461	1222	1423
462	1225	1420
463	1227	1417
464	1229	1414
465	1232	1411
466	1234	1408
467	1236	1405
468	1239	1403
469	1242	1400
470	1244	1397
471	1247	1395
472	1250	1393
473	1253	1390
474	1255	1388
475	1258	1385
476	1261	1382
477	1264	1381
478	1269	1381
479	1274	1380
480	1278	1379
481	1281	1377
482	1286	1376
483	1292	1377
484	1294	1374
485	1297	1372
486	1300	1370
487	1303	1368
488	1308	1367
489	1311	1364
490	1316	1364
491	1319	1362
492	1323	1361
493	1326	1358
494	1331	1358
495	1334	1356
496	1338	1354
497	1341	1352
498	1348	1354
499	1351	1351
500	1354	1349
501	1356	1346
502	1361	1344
503	1367	1346
504	1371	1344
505	1375	1342
506	1379	1341
507	1384	1341
508	1389	1340
509	1397	1342
510	1401	1341
511	1406	1340
512	1410	1339
513	1414	1337
514	1422	1340
515	1426	1337
516	1430	1336
517	1437	1337
518	1440	1335
519	1447	1335
520	1455	1337
521	1459	1336
522	1462	1334
523	1469	1334
524	1472	1332
525	1475	1329
526	1482	1330
527	1490	1332
528	1495	1331
529	1500	1330
530	1504	1328
531	1526	1343
532	1530	1341
533	1534	1338
534	1538	1337
535	1542	1335
536	1545	1332
537	1548	1330
538	1553	1328
539	1557	1326
540	1561	1324
541	1565	1322
542	1568	1320
543	1572	1317
544	1574	1314
545	1580	1314
546	1585	1312
547	1589	1311
548	1592	1308
549	1596	1305
550	1598	1302
551	1602	1300
552	1606	1298
553	1610	1296
554	1615	1295
555	1618	1292
556	1621	1289
557	1624	1287
558	1627	1284
559	1630	1281
560	1633	1278
561	1636	1275
562	1640	1273
563	1643	1270
564	1645	1267
565	1649	1264
566	1651	1261
567	1655	1258
568	1657	1255
569	1659	1251
570	1661	1248
571	1664	1245
572	1665	1241
573	1668	1237
574	1670	1234
575	1672	1230
576	1673	1226
577	1676	1223
578	1678	1220
579	1680	1216
580	1682	1213
581	1684	1209
582	1686	1206
583	1688	1202
584	1691	1199
585	1693	1196
586	1695	1192
587	1696	1188
588	1699	1185
589	1700	1181
590	1702	1178
591	1704	1174
592	1706	1171
593	1708	1167
594	1710	1164
595	1712	1160
596	1714	1157
597	1716	1153
598	1718	1150
599	1720	1146
600	1722	1143
601	1723	1139
602	1725	1136
603	1727	1132
604	1729	1129
605	1731	1125
606	1733	1122
607	1735	1118
608	1737	1115
609	1738	1111
610	1740	1108
611	1742	1104
612	1744	1101
613	1746	1097
614	1748	1094
615	1750	1091
616	1751	1087
617	1753	1083
618	1754	1080
619	1757	1077
620	1759	1073
621	1760	1070
622	1762	1066
623	1764	1063
624	1766	1059
625	1768	1056
626	1770	1053
627	1773	1050
628	1774	1046
629	1776	1043
630	1778	1039
631	1780	1036
632	1781	1033
633	1783	1029
634	1785	1026
